Gene Name,Common-Name,Accession-1
EG31117,metW,b2815
EG10040,ampC,b4150
EG12110,ydcF,b1414
EG11879,rraA,b3929
EG11385,ahpF,b0606
EG30114,valY,b2403
G7705,gspF,b3327
EG10279,fadB,b3846
G6768,yncM,b1459
EG11810,gcvP,b2903
EG12155,kilR,b1352
EG30113,valX,b2402
EG10558,malK,b4035
EG10015,rodZ,b2516
G6347,dcuC,b0621
EG11807,yebF,b1847
EG10998,thrA,b0002
EG30112,valW,b1666
EG10270,era,b2566
EG11442,gcvT,b2905
EG12154,sieB,b1353
EG30111,valV,b1665
EG12058,ccmB,b2200
EG12106,hofB,b0107
EG11730,viaA,b3745
EG11384,ahpC,b0605
EG30110,valU,b2401
EG10278,fadA,b3845
G7536,yghE,b2969
EG11266,waaH,b3615
G6767,yncI,b1458
EG10585,metF,b3941
EG12117,ompX,b0814
EG30109,valT,b0744
EG10537,livG,b3455
G0-10466,yheV,b4551
EG10392,glpB,b2242
EG11793,ygdD,b2807
EG10590,metL,b3940
EG30108,tyrV,b1230
EG10510,rpoS,b2741
G7572,mqsR,b3022
EG10543,lpd,b0116
EG12112,alpA,b2624
EG30107,tyrU,b3977
G7800,rffT,b4481
EG12097,pgeF,b2593
EG10983,suhB,b2533
EG11310,ydbD,b1407
EG30106,tyrT,b1231
G7686,aaeA,b3241
G7624,tdcG,b4471
G6766,yncH,b1455
EG10408,glyA,b2551
EG11901,ydaC,b1347
EG30105,trpT,b3761
EG10536,livF,b3454
G0-10462,ypeB,b4546
G6345,dpiB,b0619
EG11763,yibG,b3596
EG10550,lysC,b4024
G7563,yqhC,b3010
G7354,yfiR,b2603
EG10371,gcvH,b2904
EG11900,ralR,b1348
EG30104,thrW,b0244
EG12057,ccmC,b2199
EG12043,yejL,b2187
EG10018,csrD,b3252
EG10958,soxS,b4062
G6943,astA,b1747
G7478,ygeN,b2858
EG11262,tsgA,b3364
G6765,yncG,b1454
EG10328,folD,b0529
EG11899,recT,b1349
EG30103,thrV,b3273
EG10389,glnQ,b0809
G0-10455,yecJ,b4537
EG10391,glpA,b2241
EG11749,yadE,b0130
EG10549,lysA,b2838
G7488,ygeV,b2869
G7049,dgcQ,b1956
EG10327,folC,b2315
EG11783,intA,b2622
EG30102,thrU,b3976
G7241,lpxP,b2378
EG12021,yohH,b2139
EG10957,soxR,b4063
G7685,aaeB,b3240
G6942,astD,b1746
G6760,curA,b1449
EG10326,folA,b0048
EG11740,nfrA,b0568
EG30101,thrT,b3979
EG10152,modC,b0765
G0-10450,ydbJ,b4529
G6338,citT,b0612
EG11696,yidH,b3676
EG10209,dapF,b3809
G7475,ygeK,b2855
G6972,dgcJ,b1786
EG12073,ftp,b2214
EG11739,nfrB,b0569
EG30097,serX,b1032
EG12054,ccmF,b2196
EG12005,yehS,b2124
EG10954,sodB,b1656
G6941,astB,b1745
G7474,pbl,b2854
EG11258,focA,b0904
G6757,ydcY,b1446
EG11653,cyaY,b3807
EG11635,nohB,b0560
EG30096,serW,b0883
EG10128,btuD,b1709
G0-10475,ytjA,b4568
EG10388,glnP,b0810
EG11695,yidG,b3675
EG10208,dapE,b2472
G7245,ypdC,b2382
G6971,cdgI,b1785
EG10023,aceB,b4014
EG11634,nohA,b1548
EG30095,serV,b2695
G7090,wzzB,b2027
EG11998,yehL,b2119
EG10953,sodA,b3908
G7679,dcuD,b3227
G6940,astE,b1744
G6747,yncJ,b1436
EG10022,aceA,b4015
EG11304,ydfE,b1577
EG30094,serU,b1975
EG10058,araG,b1900
G0-10467,ysaB,b4553
G6323,ybdG,b0577
EG11662,yedK,b1931
EG10207,dapD,b0166
G6789,ydeO,b1499
G6776,bdm,b1481
EG10589,metK,b2942
EG11303,ydfD,b1576
EG30093,serT,b0971
EG12053,ccmG,b2195
EG11995,yehI,b2118
EG10628,fpr,b3924
EG12407,iaaA,b0828
G7383,pinH,b2648
EG11257,dgcC,b0385
G6746,ydcP,b1435
G6278,glxR,b0509
EG11302,ydfC,b1573
EG30092,selC,b3658
EG12800,mlaE,b3194
G0-10463,ypfN,b4547
EG10369,gcd,b0124
EG11661,yedF,b1930
EG10205,dapA,b2478
G6494,sxy,b0959
G6623,ycgR,b1194
EG20080,glcB,b2976
EG11301,ydfB,b1572
